Date,Open,High,Low,Close,Adj Close,Volume
2019-08-02,15.800000,15.857500,15.150000,15.430000,15.424422,123460000
2019-08-05,14.485000,14.485000,13.420000,13.810000,13.805008,151242400
2019-08-06,14.180000,14.495000,13.875000,14.377500,14.372302,106770400
2019-08-07,13.902500,14.657500,13.575000,14.587500,14.582226,153954400
2019-08-08,14.810000,15.557500,14.672500,15.552500,15.546878,109528000
2019-08-09,15.315000,15.480000,14.742500,15.092500,15.087044,110683200
2019-08-12,14.820000,14.957500,14.380000,14.587500,14.582226,106655600
2019-08-13,14.560000,15.847500,14.500000,15.545000,15.539380,119629600
2019-08-14,14.787500,14.935000,14.065000,14.152500,14.147384,152465200
2019-08-15,14.225000,14.330000,13.767500,14.092500,14.087405,104469600
2019-08-16,14.445000,14.872500,14.445000,14.742500,14.737171,82202800
2019-08-19,15.367500,15.560000,15.242500,15.432500,15.426921,60022000
2019-08-20,15.352500,15.512500,15.102500,15.115000,15.109535,62632000
2019-08-21,15.507500,15.647500,15.342500,15.500000,15.494397,50740800
2019-08-22,15.590000,15.697500,14.982500,15.350000,15.344451,76314800
2019-08-23,15.032500,15.450000,13.770000,13.945000,13.939959,151175200
2019-08-26,14.372500,14.515000,14.115000,14.510000,14.504755,73292800
2019-08-27,14.812500,14.890000,14.250000,14.422500,14.417286,77289600
2019-08-28,14.277500,14.642500,14.062500,14.567500,14.562234,63912400
2019-08-29,15.105000,15.357500,14.935000,15.230000,15.224494,70761600
2019-08-30,15.480000,15.482500,14.865000,15.122500,15.117034,68051600
2019-09-03,14.822500,15.045000,14.527500,14.682500,14.677192,64392800
2019-09-04,15.095000,15.342500,14.980000,15.300000,15.294469,50232400
2019-09-05,15.805000,16.277500,15.780000,16.145000,16.139164,63372000
2019-09-06,16.212500,16.240000,15.990000,16.100000,16.094181,57519200
2019-09-09,16.242500,16.267500,15.742500,15.997500,15.991717,56156400
2019-09-10,15.735000,15.870000,15.420000,15.865000,15.859264,68382800
2019-09-11,15.937500,16.322500,15.832500,16.292500,16.286610,55700400
2019-09-12,16.594999,16.870001,16.422501,16.495001,16.489038,69965600
2019-09-13,16.424999,16.535000,16.250000,16.320000,16.314100,53805200
2019-09-16,15.997500,16.195000,15.950000,16.094999,16.089180,48562000
2019-09-17,16.090000,16.322500,15.995000,16.307501,16.301605,45398000
2019-09-18,16.215000,16.317499,15.687500,16.297501,16.291609,71031600
2019-09-19,16.382500,16.672501,16.275000,16.370001,16.364082,66385200
2019-09-20,16.440001,16.487499,15.685000,15.855000,15.849268,61756400
2019-09-23,15.820000,16.010000,15.675000,15.870000,15.864263,44704800
2019-09-24,16.087500,16.184999,15.035000,15.242500,15.236990,101882800
2019-09-25,15.190000,15.860000,14.807500,15.730000,15.724313,76152000
2019-09-26,15.682500,15.715000,15.215000,15.572500,15.566871,68107200
2019-09-27,15.637500,15.662500,14.665000,15.007500,15.002074,94246000
2019-09-30,15.150000,15.480000,15.070000,15.407500,15.401931,58551600
2019-10-01,15.580000,15.837500,14.955000,15.035000,15.029565,79227200
2019-10-02,14.732500,14.732500,14.005000,14.265000,14.259844,135412000
2019-10-03,14.255000,14.742500,13.727500,14.735000,14.729673,120260800
2019-10-04,14.927500,15.420000,14.897500,15.355000,15.349448,84488800
2019-10-07,15.215000,15.582500,15.135000,15.212500,15.207001,81265200
2019-10-08,14.910000,15.120000,14.500000,14.520000,14.514751,117702800
2019-10-09,14.900000,15.152500,14.765000,14.960000,14.954592,76134800
2019-10-10,14.962500,15.467500,14.920000,15.287500,15.281974,88119600
2019-10-11,15.805000,16.250000,15.785000,15.860000,15.854266,111254800
2019-10-14,15.812500,16.027500,15.765000,15.877500,15.871759,45746800
2019-10-15,16.020000,16.587500,15.992500,16.480000,16.474043,70360800
2019-10-16,16.305000,16.477501,16.197500,16.357500,16.351587,58596800
2019-10-17,16.639999,16.715000,16.285000,16.469999,16.464045,60919600
2019-10-18,16.405001,16.507500,15.747500,15.997500,15.991717,77222000
2019-10-21,16.257500,16.455000,16.107500,16.420000,16.414064,47088000
2019-10-22,16.590000,16.682501,16.020000,16.040001,16.034203,62511600
2019-10-23,15.927500,16.127501,15.850000,16.115000,16.109175,48452800
2019-10-24,16.467501,16.610001,16.242500,16.577499,16.571507,61242400
2019-10-25,16.322500,16.997499,16.312500,16.955000,16.948870,64588800
2019-10-28,17.215000,17.542500,17.215000,17.472500,17.466183,55798000
2019-10-29,17.387501,17.462500,17.057501,17.070000,17.063829,53514000
2019-10-30,17.160000,17.395000,16.867500,17.309999,17.303741,59492400
2019-10-31,17.442499,17.480000,17.027500,17.322500,17.316238,61648000
2019-11-01,17.552500,17.797501,17.472500,17.792500,17.786068,57526400
2019-11-04,18.152500,18.242500,18.030001,18.110001,18.103455,49963200
2019-11-05,18.192499,18.245001,17.972500,18.132500,18.125944,51614800
2019-11-06,18.087500,18.094999,17.762501,18.017500,18.010986,57664800
2019-11-07,18.302500,18.549999,18.042500,18.200001,18.193422,62859600
2019-11-08,18.092501,18.422501,17.957500,18.415001,18.408344,40803600
2019-11-11,18.142500,18.365000,18.062500,18.337500,18.330870,38046400
2019-11-12,18.379999,18.680000,18.299999,18.487499,18.480816,64346000
2019-11-13,18.307501,18.557501,18.264999,18.459999,18.453325,55879200
2019-11-14,18.297501,18.492500,18.127501,18.455000,18.448328,53325600
2019-11-15,18.777500,18.834999,18.615000,18.802500,18.795702,45293200
2019-11-18,18.777500,18.995001,18.545000,18.900000,18.893167,48348000
2019-11-19,19.117500,19.117500,18.772499,18.977501,18.970640,56060000
2019-11-20,18.837500,19.007500,18.205000,18.645000,18.638260,75190000
2019-11-21,18.580000,18.612499,18.337500,18.500000,18.493313,45329600
2019-11-22,18.639999,18.677500,18.242500,18.549999,18.543293,41834000
